entry_time,exit_time,entry,exit,units,reason,pnl
1970-01-01T00:02:18+00:00,1970-01-01T00:02:35+00:00,17.369587544150498,15.135973250568217,1.0,flat,-2.266119854377
1970-01-01T00:03:21+00:00,1970-01-01T00:04:13+00:00,16.043468202043616,16.22447759939012,1.0,flat,0.1487414515450699
1970-01-01T00:04:23+00:00,1970-01-01T00:04:25+00:00,16.959366678979134,16.382536069725976,1.0,flat,-0.6101725120018626
1970-01-01T00:04:39+00:00,1970-01-01T00:04:57+00:00,17.016774936178116,16.041862861710623,1.0,flat,-1.007970712265382
1970-01-01T00:05:03+00:00,1970-01-01T00:06:25+00:00,16.9511779667758,17.146339397603278,1.0,flat,0.16106391346310006
1970-01-01T00:07:31+00:00,1970-01-01T00:08:50+00:00,17.848611930200445,19.24157748038479,1.0,flat,1.355875360773761
1970-01-01T00:09:54+00:00,1970-01-01T00:11:26+00:00,18.185854668743442,19.076496662894893,1.0,flat,0.853379642819813
1970-01-01T00:15:37+00:00,1970-01-01T00:19:28+00:00,9.543755580630302,16.10043861447644,1.0,flat,6.531038839651033
1970-01-01T00:20:42+00:00,1970-01-01T00:21:22+00:00,16.479080457488525,15.543489203688642,1.0,flat,-0.9676138234610602
1970-01-01T00:24:32+00:00,1970-01-01T00:24:45+00:00,9.06339396792017,7.9236778987550744,1.0,flat,-1.1567031410317712
1970-01-01T00:26:54+00:00,1970-01-01T00:28:22+00:00,7.344841530365058,7.514261012564946,1.0,flat,0.15456037965695754
